name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
Kent RO Systems,4.1,1.5k,Consumer Electronics & Appliances , 1k-5k Employees , 25 years old ," Noida +133 more
								   Highly Rated For Work Life Balance, Work Satisfaction, Company Culture",
Jindal Stainless,4.2,1.5k,Iron & Steel , 1k-5k Employees , Public , 54 years old , Delhi/NCR +53 more
Sterling & Wilson,4.1,1.5k,Engineering & Construction , 501-1k Employees , 97 years old ," Mumbai +91 more
								   Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",
Brakes India,4.0,1.5k,Auto Components , 501-1k Employees , Fortune India 500 , 62 years old , Chennai +72 more
ITC Hotels,4.0,1.5k,Hospitality , 5k-10k Employees , Public , 49 years old , Kolkata +71 more
CAMS,3.7,1.5k,IT Services & Consulting , 5k-10k Employees , 36 years old ," Chennai +95 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Care Health Insurance,3.7,1.5k,Internet , 5k-10k Employees , Public , 12 years old , Gurgaon +189 more
Bureau Veritas,3.9,1.5k,Other , 1k-5k Employees , Forbes Global 2000 , 196 years old , Paris La Défense +102 more
Fincare Small Finance Bank,4.0,1.5k,NBFC , 5k-10k Employees , 17 years old ," Bangalore +342 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Job Security, Skill Development / Learning, Work Life Balance",
Aavas Financiers,4.0,1.5k,Financial Services , 5k-10k Employees , Public , 13 years old , Jaipur +226 more
Varroc Group,3.8,1.5k,Auto Components , 1k-5k Employees , Public , 36 years old , Aurangabad +35 more
Future Generali India Life Insurance,3.8,1.5k,Insurance , 1k-5k Employees , 17 years old ," Mumbai +165 more
								    Critically Rated For Promotions / Appraisal",
PhonePe,4.1,1.5k,FinTech , 5k-10k Employees , Indian Unicorn , 9 years old , Bangalore +202 more
Coromandel International,4.1,1.5k,Agro Chemicals , 5k-10k Employees , Public , 63 years old , Hyderabad/Secunderabad +143 more
Unacademy,3.4,1.5k,EdTech , 1k-5k Employees , Indian Unicorn , 9 years old , Bangalore +53 more
Allsec Technologies,4.1,1.5k,BPO , 1k-5k Employees , Public , 24 years old , Chennai +23 more
Citicorp,3.8,1.5k,Financial Services , 1k-5k Employees , 27 years old ," Mumbai +24 more
								   Highly Rated For Job Security, Salary & Benefits  Critically Rated For Promotions / Appraisal, Work Satisfaction",
Gallagher,3.9,1.5k,Insurance , 10k-50k Employees , Forbes Global 2000 , 97 years old , Rolling Meadows +15 more
Mahindra Rural Housing Finance,4.1,1.5k,NBFC , 10k-50k Employees , Public , 17 years old , Mumbai +370 more
café Coffee day,3.9,1.5k,Hospitality , 1k-5k Employees , 28 years old ," Bengaluru +91 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Cisco,4.4,1.5k,Hardware & Networking , 10k-50k Employees , Public , 40 years old , San Jose +33 more
Canara HSBC Life Insurance,3.8,1.5k,Insurance , 5k-10k Employees , 16 years old , Gurgaon/Gurugram +240 more,
Sopra Steria,4.0,1.5k,IT Services & Consulting , 5k-10k Employees , Conglomerate , 56 years old , Paris +14 more
JK Tyres,3.7,1.5k,Auto Components , 1k-5k Employees , Fortune India 500 , 73 years old , New Delhi +126 more
Tata Motors Finance,4.2,1.5k,NBFC , 1k-5k Employees , Conglomerate , 67 years old , Mumbai +215 more
Gabriel India,4.2,1.5k,Auto Components , 1k-5k Employees , Public , 63 years old , Pune +40 more
Power Mech Projects,3.8,1.4k,Engineering & Construction , 1k-5k Employees , Public , 17 years old , Hyderabad/Secunderabad +115 more
Lucas-TVS,4.0,1.4k,Auto Components , 5k-10k Employees , 63 years old ," Chennai +57 more
								   Highly Rated For Skill Development / Learning, Job Security, Work Satisfaction  Critically Rated For Promotions / Appraisal",
Adani Wilmar,4.2,1.4k,FMCG , 1k-5k Employees , Public , 25 years old , Ahmedabad +146 more
RMSI,3.8,1.4k,IT Services & Consulting , 1k-5k Employees , 32 years old ," Noida +12 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Star Health & Allied Insurance,3.8,1.4k,Insurance , 10k-50k Employees , Fortune India 500 , 18 years old , Chennai +240 more
IntouchCX,3.0,1.4k,BPO , 5k-10k Employees , 23 years old ," Winnipeg +14 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Taurus BPO Services,4.6,1.4k,1k-5k Employees , 9 years old ," Pune +14 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",,
UpGrad,4.0,1.4k,EdTech , 1k-5k Employees , Indian Unicorn , 9 years old , San Francisco +36 more
ABC,3.9,1.4k,Broadcasting , 1k-5k Employees (Global) , Public , 81 years old , New York +101 more
Indian Navy,4.5,1.4k,Defence & Aerospace , 50k-1 Lakh Employees , Central , 74 years old , Delhi/NCR +58 more
Thomson Reuters,4.1,1.4k,Legal , 5k-10k Employees , Forbes Global 2000 , 16 years old , Toronto +24 more
Bank of Baroda,3.5,1.4k,Banking , 50k-1 Lakh Employees , Fortune India 500 , 116 years old , Vadodara/Baroda +227 more
ValueLabs,3.9,1.4k,IT Services & Consulting , 5k-10k Employees , 27 years old ," Hyderabad/Secunderabad +15 more
								   Highly Rated For Salary & Benefits",
DBS Bank,3.9,1.4k,Banking , 5k-10k Employees , 9 years old ," Hyderabad/Secunderabad +132 more
								   Highly Rated For Salary & Benefits, Job Security, Company Culture",
KIA MOTORS,3.8,1.4k,Automobile , 1k-5k Employees , Forbes Global 2000 , 80 years old , Seoul +128 more
Google,4.4,1.4k,Internet , 10k-50k Employees , 26 years old ," Mountain View +80 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Company Culture, Salary & Benefits, Skill Development / Learning",
SAP,4.3,1.4k,Software Product , 10k-50k Employees , Forbes Global 2000 , 52 years old , Walldorf +41 more
Straive,3.5,1.4k,Analytics & KPO , 10k-50k Employees , 44 years old ," Singapore +19 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Planet Spark,3.8,1.4k,EdTech , 51-200 Employees , Startup , 7 years old , Gurgaon +35 more
Renault Nissan Technology & Business Centre India,3.8,1.4k,IT Services & Consulting , 5k-10k Employees , 17 years old ," Chennai +13 more
								   Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Laurus Labs,4.2,1.4k,Pharma , 5k-10k Employees , Public , 19 years old , Hyderabad/Secunderabad +14 more
Tata Capital Financial Services,4.3,1.4k,NBFC , 5k-10k Employees , Public , 17 years old , Mumbai +152 more
Hindustan Aeronautics,4.3,1.4k,Defence & Aerospace , 10k-50k Employees , Fortune India 500 , 84 years old , Bangalore/Bengaluru +45 more
Parle Products,3.9,1.4k,Food Processing , 1k-5k Employees , 95 years old ," Mumbai +181 more
								   Highly Rated For Salary & Benefits  Critically Rated For Company Culture",
Uflex,3.8,1.4k,Packaging , 5k-10k Employees , Public , 39 years old , Noida +41 more
AECOM,4.2,1.4k,Engineering & Construction , 1k-5k Employees , 34 years old ," Dallas +103 more
								   Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning",
Hero FinCorp,4.2,1.4k,NBFC , 1k-5k Employees , 33 years old ," Delhi +298 more
								   Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",
TVS Sundram Fasteners,3.7,1.4k,Auto Components , 1k-5k Employees , Public , 62 years old , Chennai +41 more
Cargill,4.1,1.4k,Food Processing , 1k-5k Employees , Conglomerate , 159 years old , Wayzata +87 more
Honda,4.2,1.4k,Automobile , 10k-50k Employees , Forbes Global 2000 , 39 years old , Greater Noida +192 more
Citibank,4.0,1.4k,Banking , 1-10 Employees , Fortune India 500 , 212 years old , New York +46 more
SGS,4.0,1.4k,1k-5k Employees , Forbes Global 2000 , 146 years old ," Geneva +107 more
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
IDBI Bank,3.8,1.4k,Banking , 10k-50k Employees , Public , 60 years old , Mumbai +274 more
Novartis,4.1,1.4k,Pharma , 1k-5k Employees , 28 years old ," Switzerland +62 more
								   Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  Critically Rated For Promotions / Appraisal",
Big Bazaar,4.2,1.4k,Retail , 10k-50k Employees , Conglomerate , 23 years old , Mumbai +156 more
Sify Technologies,3.9,1.4k,IT Services & Consulting , 1k-5k Employees , 29 years old ," Chennai +97 more
								   Highly Rated For Skill Development / Learning, Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",
CMA CGM,4.1,1.4k,Ports & Shipping , 501-1k Employees , 46 years old ," Marseille +30 more
								   Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",
Dr Lal PathLabs,4.2,1.4k,Healthcare , 1k-5k Employees , Public , 75 years old , Gurgaon/Gurugram +146 more
Adani Power,3.9,1.4k,Power , 1k-5k Employees , Public , 18 years old , Ahmedabad +76 more
BA Continuum,4.3,1.4k,NBFC , 10k-50k Employees , 21 years old ," Gurgaon/Gurugram +15 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture",
AXA Business Services,3.8,1.4k,Insurance , 501-1k Employees , 78 years old ," Paris +8 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Intellect Design Arena,4.0,1.4k,FinTech , 5k-10k Employees , Public , 10 years old , Chennai +25 more
Vedantu,3.3,1.4k,EdTech , 1k-5k Employees , Indian Unicorn , 13 years old , Bangalore +50 more
Kotak Securities,3.7,1.4k,Financial Services , 5k-10k Employees , Conglomerate , 30 years old , Mumbai +116 more
Microsoft Corporation,4.2,1.4k,Software Product , 10k-50k Employees , Forbes Global 2000 , 49 years old , Sunnyvale +43 more
Wockhardt,3.8,1.4k,Pharma , 5k-10k Employees , Public , 25 years old , Mumbai +75 more
Vardhman Fabrics,4.0,1.4k,Fashion & Textile , 10k-50k Employees , Fortune India 500 , 59 years old , Ludhiana +55 more
Akums Drugs & Pharmaceuticals,4.0,1.4k,Pharma , 10k-50k Employees , 20 years old ," Delhi/NCR +28 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
Reliance General Insurance,3.8,1.3k,Insurance , 5k-10k Employees , 24 years old ," Mumbai +166 more
								    Critically Rated For Promotions / Appraisal",
ESAF Microfinance & Investments (P),3.9,1.3k,Financial Services , 1k-5k Employees , 8 years old ," Thrissur/Trichur +268 more
								   Highly Rated For Job Security",
Xoriant,3.9,1.3k,IT Services & Consulting , 1k-5k Employees , 34 years old ," Sunnyvale +19 more
								   Highly Rated For Work Life Balance, Company Culture, Salary & Benefits",
Philips,3.9,1.3k,Consumer Electronics & Appliances , 5k-10k Employees , Forbes Global 2000 , 94 years old , Amsterdam +83 more
Meesho,3.7,1.3k,Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Bengaluru/Bangalore +88 more
SBI General Insurance,3.8,1.3k,Insurance , 5k-10k Employees , 15 years old ," Mumbai +202 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal",
Narayana Health,4.2,1.3k,Healthcare , 10k-50k Employees , Fortune India 500 , 24 years old , Bangalore/Bengaluru +52 more
TCE,3.7,1.3k,Engineering & Construction , 5k-10k Employees , 62 years old ," Mumbai +97 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Honeywell Automation,3.8,1.3k,Consumer Electronics & Appliances , 10k-50k Employees , Public , 118 years old , Morris Plains +61 more
MetLife,4.3,1.3k,Insurance , 1k-5k Employees , Forbes Global 2000 , 16 years old , New York +35 more
Tata Play,4.1,1.3k,Broadcasting , 5k-10k Employees , Public , 18 years old , Mumbai +187 more
G R Infraprojects,4.2,1.3k,Engineering & Construction , 10k-50k Employees , Public , 29 years old , Gurgaon/Gurugram +134 more
YASH Technologies,3.8,1.3k,IT Services & Consulting , 5k-10k Employees , 28 years old ," East Moline +19 more
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Crisil,3.7,1.3k,Financial Services , 1k-5k Employees , Public , 37 years old , Mumbai +53 more
Aragen Life Sciences,4.1,1.3k,Pharma , 1k-5k Employees , 24 years old ," Hyderabad/Secunderabad +18 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
PHN Technology,4.6,1.3k,"Pune +30 more
								   Highly Rated For Skill Development / Learning, Work Satisfaction, Company Culture",,,,
CMS Infosystems,3.5,1.3k,IT Services & Consulting , 5k-10k Employees , 16 years old ," Mumbai +162 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
NCR Corporation,4.0,1.3k,IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 140 years old , Atlanta +79 more
Bhushan Power & Steel,4.0,1.3k,Iron & Steel , 5k-10k Employees , 54 years old ," Delhi/NCR +51 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Biological E,4.2,1.3k,Biotechnology , 1k-5k Employees , 71 years old ," Hyderabad/Secunderabad +44 more
								   Highly Rated For Job Security, Company Culture, Work Life Balance",
Spark Minda,3.8,1.3k,Auto Components , 1k-5k Employees , Public , 66 years old , Gurgaon +57 more
Optum Global Solutions,4.1,1.3k,IT Services & Consulting , 1k-5k Employees ," Hyderabad/Secunderabad +12 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",,
Microland,3.6,1.3k,IT Services & Consulting , 1k-5k Employees , Public , 35 years old , Bangalore +41 more
XL Dynamics,3.2,1.3k,IT Services & Consulting , 1k-5k Employees , 22 years old ," Navi Mumbai +27 more
								    Critically Rated For Job Security, Company Culture, Work Life Balance",
Safexpress,4.1,1.3k,Logistics , 1k-5k Employees , Conglomerate , 27 years old , Delhi/NCR +135 more
Frankfinn Institute of Air Hostess Training,4.0,1.3k,Education & Training , 1k-5k Employees , 31 years old ," Gurgaon/Gurugram +56 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture",
Frankfinn Institute of Air Hostess Training,4.0,1.3k,Education & Training , 1k-5k Employees , 31 years old ," Gurgaon/Gurugram +56 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture",
Yamaha Motor,4.0,1.3k,Automobile , 1k-5k Employees , Fortune India 500 , 17 years old , Iwata +129 more
Amazon Transportation Services,4.2,1.3k,Logistics , 1k-5k Employees , 12 years old ," Seattle +129 more
								   Highly Rated For Salary & Benefits, Company Culture, Skill Development / Learning",
Niva Bupa Health Insurance Company,3.7,1.3k,Insurance , 5k-10k Employees , 16 years old ," Delhi/NCR +176 more
								    Critically Rated For Promotions / Appraisal",
R.R. Donnelley,4.0,1.3k,Marketing & Advertising , 5k-10k Employees , 160 years old ," Chicago +10 more
								   Highly Rated For Job Security, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Metro,4.1,1.3k,Retail , 1k-5k Employees , Forbes Global 2000 , 60 years old , Bangalore/Bengaluru +69 more
Exl India,3.7,1.3k,IT Services & Consulting , 11-50 Employees , 67 years old ," New Delhi +25 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
HERE Technologies,3.8,1.3k,IT Services & Consulting , 1k-5k Employees , 39 years old ," Eindhoven +13 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",
SS&C TECHNOLOGIES,3.6,1.3k,IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 38 years old , Windsor Locks +24 more
Matrimony.com,4.4,1.3k,Internet , 1k-5k Employees , Public , 27 years old , Chennai +49 more
Reckitt Benckiser,4.0,1.3k,FMCG , 1k-5k Employees , Conglomerate , 25 years old , Slough +109 more
Innovsource Services,3.9,1.3k,Recruitment , 1k-5k Employees , 20 years old ," Mumbai +182 more
								    Critically Rated For Promotions / Appraisal",
Angel One,3.9,1.3k,Financial Services , 1k-5k Employees ," Mumbai +109 more
								   Highly Rated For Company Culture, Work Life Balance",,
Panasonic Life Solutions,4.0,1.3k,Electrical Equipment , 1k-5k Employees , 61 years old ," Mumbai +106 more
								   Highly Rated For Job Security, Work Life Balance, Salary & Benefits  Critically Rated For Promotions / Appraisal",
CitiusTech,3.5,1.3k,IT Services & Consulting , 1k-5k Employees , Indian Unicorn , 19 years old , New Jersey +14 more
Procter & Gamble,4.2,1.3k,FMCG , 1k-5k Employees , Public , 187 years old , Cincinnati +200 more
Apollo Pharmacy,3.9,1.3k,Pharma , 10k-50k Employees , 41 years old ," Chennai +184 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Cavinkare,4.0,1.3k,FMCG , 1k-5k Employees , Conglomerate , 41 years old , Chennai +144 more
Adecco Group,3.7,1.2k,Recruitment , 1k-5k Employees , Forbes Global 2000 , 25 years old , Zurich +121 more
KONE,4.3,1.2k,Industrial Machinery , 5k-10k Employees , Forbes Global 2000 , 114 years old , Chennai +62 more
KONE,4.3,1.2k,Industrial Machinery , 5k-10k Employees , Forbes Global 2000 , 114 years old , Chennai +62 more
Motherson Automotive Technologies and Engineering,3.9,1.2k,Auto Components , 501-1k Employees , 27 years old ," Noida +52 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",
USHA International,4.2,1.2k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 90 years old , Gurgaon/Gurugram +110 more
Sigma Electric Manufacturing Corporation,4.0,1.2k,Industrial Machinery , 1k-5k Employees , 42 years old ," Garner +18 more
								   Highly Rated For Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",
Allstate,4.0,1.2k,Insurance , 5k-10k Employees , Forbes Global 2000 , 12 years old , Bangalore/Bengaluru +8 more
Bharat Financial Inclusion,4.1,1.2k,Financial Services , 10k-50k Employees , Public , 26 years old , Hyderabad +303 more
Oberoi Group of Hotels,4.2,1.2k,Hospitality , 1k-5k Employees , 90 years old ," Delhi/NCR +31 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
Honeywell Technology Solutions,3.8,1.2k,Defence & Aerospace , 10k-50k Employees , 30 years old ," Bangalore/Bengaluru +18 more
								   Highly Rated For Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Team Computers,3.7,1.2k,IT Services & Consulting , 1k-5k Employees , 37 years old ," Delhi/NCR +83 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
SBI Securities,3.8,1.2k,Financial Services , 5k-10k Employees , 18 years old ," Mumbai +201 more
								    Critically Rated For Promotions / Appraisal",
Chegg,4.2,1.2k,EdTech , 501-1k Employees , 19 years old ," Santa Clara +58 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture",
Mercedes-Benz Research & Development India,4.0,1.2k,IT Services & Consulting , 5k-10k Employees , Public , 28 years old , Bengaluru/Bangalore +48 more
Isgec Heavy Engineering,3.9,1.2k,Industrial Machinery , 1k-5k Employees , Public , 91 years old , Noida +68 more
DIVI'S Laboratories,3.8,1.2k,Healthcare , 10k-50k Employees , Public , 34 years old , Hyderabad/Secunderabad +19 more
Honda Cars,4.3,1.2k,Automobile , 5k-10k Employees , Fortune India 500 ," Alwar +82 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",
TATA Power,3.9,1.2k,10k-50k Employees , Public , 113 years old ," Mumbai +121 more
								   Highly Rated For Job Security, Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Hyatt Regency,4.1,1.2k,Hospitality , 1k-5k Employees , Forbes Global 2000 , 44 years old , New Delhi +43 more
Credit Suisse,4.2,1.2k,10k-50k Employees , 168 years old ," Zurich +9 more
								   Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  Critically Rated For Job Security",,
Torrent Power,3.7,1.2k,Power , 5k-10k Employees , Public , 28 years old , Ahmedabad +35 more
NTPC,4.3,1.2k,10k-50k Employees , Fortune India 500 , 49 years old ," Delhi/NCR +98 more
								   Highly Rated For Work Life Balance, Job Security, Skill Development / Learning",
Aditya Birla Capital,4.0,1.2k,Financial Services , 10k-50k Employees , Public , 7 years old , Mumbai +176 more
Mother Dairy Fruit & Vegetable,4.2,1.2k,Food Processing , 1k-5k Employees , 50 years old ," Noida +107 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
DHL Supply Chain,4.2,1.2k,Logistics , 1k-5k Employees , 55 years old ," Bonn +73 more
								   Highly Rated For Job Security, Company Culture, Skill Development / Learning",
Johnson & Johnson,4.2,1.2k,Pharma , 1k-5k Employees , Forbes Global 2000 , 67 years old , New Brunswick +132 more
Tata Capital,4.1,1.2k,NBFC , 5k-10k Employees , Fortune India 500 , 17 years old , Mumbai +171 more
Arvind Group,4.1,1.2k,Fashion & Textile , 10k-50k Employees , Public , 93 years old , Ahmedabad +79 more
Verizon,4.2,1.2k,Telecom , 5k-10k Employees , Forbes Global 2000 , 24 years old , New York City +11 more
Swaraj Tractors,4.3,1.2k,Automobile , 1k-5k Employees , Conglomerate , 62 years old , Mumbai +133 more
PI Industries,4.2,1.2k,Agro Chemicals , 1k-5k Employees , Public , 77 years old , Gurgaon/Gurugram +85 more
Orange Business,4.3,1.2k,IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 18 years old , Paris +46 more
Piramal Group,4.0,1.2k,Financial Services , 1k-5k Employees , Fortune India 500 , 44 years old , Mumbai +119 more
V-Guard Industries,4.4,1.2k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 47 years old , Kochi/Cochin +121 more
Medi Assist India,3.6,1.2k,Insurance , 5k-10k Employees , 24 years old ," Bangalore +52 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
HDFC Securities,3.6,1.2k,Financial Services , 1k-5k Employees , Public , 24 years old , Mumbai +162 more
Saint-Gobain,4.1,1.2k,Building Material , 10k-50k Employees , Forbes Global 2000 , 359 years old , Paris +76 more
Trent,4.1,1.2k,Retail , 10k-50k Employees , Public , 26 years old , Mumbai +106 more
CG Power and Industrial Solutions,3.9,1.2k,Electrical Equipment , 1k-5k Employees , Public , 87 years old , Mumbai +82 more
Jindal Saw,3.9,1.2k,Building Material , 5k-10k Employees , Public , 40 years old , Delhi/NCR +54 more
Tata Communications Transformation Services,4.1,1.2k,Hardware & Networking , 1k-5k Employees , 18 years old ," Mumbai +79 more
								   Highly Rated For Job Security, Company Culture, Work Life Balance",
Haier Appliances India,4.1,1.2k,Consumer Electronics & Appliances , 1k-5k Employees , Conglomerate , 20 years old , Qingdao +104 more
DHL Express,4.1,1.2k,Logistics , 1k-5k Employees , Conglomerate , 45 years old , Bonn +79 more
FactSet,4.0,1.2k,Analytics & KPO , 5k-10k Employees , 46 years old ," Norwalk +10 more
								   Highly Rated For Company Culture, Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Exela Technologies,3.5,1.2k,IT Services & Consulting , 1k-5k Employees , 13 years old ," Irving +19 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Max Fashion,4.1,1.2k,Retail , 10k-50k Employees , 10 years old ," Abu Dhabi +132 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Skill Development / Learning, Job Security, Company Culture",
First American Corporation,3.9,1.2k,IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 135 years old , Santa Ana +11 more
UBS,3.9,1.2k,Investment Banking / Venture Capital / Private Equity , 5k-10k Employees , Forbes Global 2000 , 9 years old , Zurich +29 more
Exotic Learning,4.5,1.2k,EdTech , 51-200 Employees , 4 years old ," Lucknow +141 more
								   Highly Rated For Company Culture, Work Life Balance, Promotions / Appraisal",
Relaxo Footwear,4.3,1.2k,Fashion & Textile , 5k-10k Employees , Public , 48 years old , New Delhi +121 more
Star Union Dai-ichi Life Insurance,3.9,1.2k,Insurance , 1k-5k Employees , 15 years old , Navi Mumbai +215 more,
Paisabazaar.com,3.6,1.2k,Internet , 1k-5k Employees , Startup , 10 years old , Gurgaon/Gurugram +14 more
Globiva,3.2,1.2k,BPO , 1k-5k Employees , 7 years old ," Gurgaon/Gurugram +16 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Aforeserve,3.5,1.2k,IT Services & Consulting , 1k-5k Employees , 24 years old ," Noida +144 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Aon,4.0,1.2k,Management Consulting , 5k-10k Employees , Forbes Global 2000 , 84 years old , London +18 more
Aadhar Housing Finance,4.1,1.2k,Financial Services , 1k-5k Employees , 14 years old ," Mumbai +242 more
								   Highly Rated For Skill Development / Learning, Job Security, Salary & Benefits",
Daikin,4.2,1.2k,Consumer Electronics & Appliances , 1k-5k Employees , Fortune India 500 , 24 years old , Osaka City +85 more
Medanta the Medicity,4.1,1.2k,Healthcare , 5k-10k Employees , 15 years old ," Gurgaon +33 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
Hindustan Petroleum,4.2,1.2k,Oil & Gas , 5k-10k Employees , Central , 50 years old , Mumbai +198 more
L&T Energy Hydrocarbon,3.8,1.2k,Engineering & Construction , 5k-10k Employees , 15 years old ," Mumbai +63 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Work Life Balance, Salary & Benefits",
Oracle Cerner,3.8,1.2k,IT Services & Consulting , 5k-10k Employees , Public , 45 years old , Kansas +4 more
Morgan Stanley,3.7,1.2k,Financial Services , 10k-50k Employees , Forbes Global 2000 , 93 years old , New York +16 more
Morgan Stanley,3.7,1.2k,Financial Services , 10k-50k Employees , Forbes Global 2000 , 93 years old , New York +16 more
Emami,4.0,1.1k,Beauty & Personal Care , 1k-5k Employees , Public , 50 years old , Kolkata +145 more
Biocon Biologics,3.8,1.1k,Biotechnology , 1k-5k Employees , Public , 46 years old , Bangalore/Bengaluru +29 more
Nuvoco Vistas,4.2,1.1k,Building Material , 1k-5k Employees , Fortune India 500 , 25 years old , Mumbai +138 more
IDC Technologies,3.4,1.1k,IT Services & Consulting , 1k-5k Employees , 21 years old ," Milpitas +55 more
								    Critically Rated For Job Security, Promotions / Appraisal, Skill Development / Learning",
Security and Intelligence Services (India),4.1,1.1k,BPO , 1 Lakh+ Employees , Public , 39 years old , Delhi/NCR +151 more
Photon Interactive,4.1,1.1k,IT Services & Consulting , 1k-5k Employees , 25 years old ," London +9 more
								   Highly Rated For Salary & Benefits, Skill Development / Learning, Work Life Balance",
Bata,3.9,1.1k,Fashion & Textile , 1k-5k Employees , Public , 93 years old , Lausanne +112 more
FirstCry,3.7,1.1k,Retail , 1k-5k Employees , Indian Unicorn , 14 years old , Pune +138 more
Haldiram Foods,3.9,1.1k,FMCG , 1k-5k Employees , 54 years old ," Nagpur +109 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Dell EMC,4.2,1.1k,IT Services & Consulting , 10k-50k Employees , 45 years old ," Hopkinton +49 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Work Life Balance, Company Culture, Job Security",
Hindustan Construction Company,4.2,1.1k,Engineering & Construction , 1k-5k Employees , Public , 98 years old , Mumbai +81 more
BNP Paribas,3.9,1.1k,Financial Services , 10k-50k Employees , Forbes Global 2000 , 176 years old , Paris +21 more
Mercer,3.8,1.1k,Management Consulting , 1k-5k Employees , 79 years old ," New York +16 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal",
Faurecia,4.0,1.1k,Auto Components , 1k-5k Employees , 27 years old ," Nanterre +24 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",
