name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
Vivo,4.1,4k,Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old , Gurgaon/Gurugram +367 more
Omega Healthcare,3.8,4k,Healthcare , 10k-50k Employees , 21 years old ," Florida +42 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
JustDial,3.5,3.9k,Internet , 10k-50k Employees , Public , 28 years old , Mumbai +174 more
First Source,3.8,3.9k,BPO , 10k-50k Employees , Public , 23 years old , Mumbai +51 more
Megha Engineering & Infrastructures,4.0,3.9k,Engineering & Construction , 50k-1 Lakh Employees , Conglomerate , 35 years old , Hyderabad/Secunderabad +286 more
Hewlett-Packard Enterprise,4.3,3.9k,Emerging Technologies , 10k-50k Employees , Forbes Global 2000 , 9 years old , Houston +96 more
Hero MotoCorp,4.2,3.9k,Automobile , 5k-10k Employees , Public , 40 years old , Gurgaon/Gurugram +306 more
Bajaj Allianz Life Insurance,4.1,3.8k,Insurance , 10k-50k Employees , 23 years old ," Pune +487 more
								   Highly Rated For Salary & Benefits, Work Life Balance, Job Security",
Mahindra & Mahindra Financial Services,4.3,3.8k,NBFC , 10k-50k Employees , Public , 33 years old , Mumbai +631 more
Cyient,3.8,3.7k,IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Hyderabad/Secunderabad +33 more
ICICI Lombard General Insurance Company,3.8,3.7k,Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +255 more
D Mart,3.9,3.7k,Retail , 10k-50k Employees , Fortune India 500 , 24 years old , Mumbai +206 more
BigBasket,4.0,3.7k,Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +109 more
Coforge,3.5,3.7k,10k-50k Employees , Public , 20 years old ," Noida +85 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Indiamart Intermesh,3.6,3.7k,Internet , 5k-10k Employees , 28 years old ," Noida +133 more
								    Critically Rated For Promotions / Appraisal, Work Satisfaction",
Virtusa Consulting Services,3.8,3.6k,IT Services & Consulting , 10k-50k Employees , 28 years old ," Southborough +35 more
								    Critically Rated For Promotions / Appraisal",
Hyundai Motor,4.3,3.6k,Automobile , 10k-50k Employees , Fortune India 500 , 57 years old , Seoul +268 more
Equitas Small Finance Bank,4.4,3.6k,Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Chennai +361 more
TVS Motor,4.0,3.6k,Automobile , 5k-10k Employees , Public , 45 years old , Chennai +269 more
Nagarro,4.2,3.5k,IT Services & Consulting , 10k-50k Employees , 28 years old ," Munich +38 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Company Culture, Work Life Balance, Salary & Benefits",
GlobalLogic,3.7,3.5k,IT Services & Consulting , 10k-50k Employees , 24 years old ," San Jose +31 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
UST,3.9,3.5k,IT Services & Consulting , 10k-50k Employees , 23 years old ," Aliso Viejo +36 more
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Atos Syntel,3.5,3.5k,IT Services & Consulting , 5k-10k Employees , 44 years old ," Troy +23 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Reliance Communications,3.9,3.5k,Telecom , 201-500 Employees , Public , 22 years old , Navi Mumbai +418 more
Manappuram Finance,3.9,3.5k,NBFC , 10k-50k Employees , Public , 75 years old , Thrissur/Trichur +479 more
IQVIA,4.1,3.5k,Clinical Research , 10k-50k Employees , Forbes Global 2000 , 42 years old , Durham +41 more
Cummins,4.4,3.4k,Auto Components , 10k-50k Employees , Fortune India 500 , 62 years old , Columbus +102 more
Bosch Global Software Technologies,4.1,3.4k,Software Product , 10k-50k Employees , 34 years old ," Gerlingen +28 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
SBI Cards & Payment Services,3.7,3.4k,1k-5k Employees , 26 years old ," Gurgaon/Gurugram +326 more
								    Critically Rated For Promotions / Appraisal, Work Satisfaction",,
Bosch,4.3,3.4k,Auto Components , 5k-10k Employees , Public , 138 years old , Gerlingen +96 more
BNY Mellon,4.1,3.4k,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , Forbes Global 2000 , 20 years old , New York City +14 more
SMFG India Credit,4.1,3.4k,NBFC , 10k-50k Employees , 17 years old ," Mumbai +475 more
								   Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning",
Oyo Rooms,3.4,3.3k,Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Gurgaon +114 more
Cholamandalam Investment & Finance,4.1,3.3k,NBFC , 10k-50k Employees , Fortune India 500 , 46 years old , Chennai +615 more
Schneider Electric,4.1,3.3k,Industrial Automation , 10k-50k Employees , Forbes Global 2000 , 25 years old , Paris +106 more
Amdocs,3.9,3.3k,Software Product , 10k-50k Employees , Forbes Global 2000 , 42 years old , Chesterfield +15 more
BT Group,4.1,3.3k,Telecom , 10k-50k Employees , Forbes Global 2000 , 178 years old , London +18 more
Ekart Logistics,4.1,3.3k,Logistics , 5k-10k Employees , 15 years old ," San Francisco +546 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture",
L&T Technology Services,3.4,3.3k,IT Services & Consulting , 10k-50k Employees , Public , 12 years old , Vadodara/Baroda +46 more
CBRE,4.2,3.3k,Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old , Los Angeles +68 more
State Bank of India,3.7,3.2k,Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old , Mumbai +468 more
